long,lat,group,order,region,subregion
-57.88632965,-30.93740273,20,1450,Argentina,NA
-57.89829254,-30.97519493,20,1451,Argentina,NA
-57.8700676,-31.03105545,20,1452,Argentina,NA
-57.8684082,-31.10439491,20,1453,Argentina,NA
-57.89336014,-31.19531059,20,1454,Argentina,NA
-57.94834137,-31.29941368,20,1455,Argentina,NA
-58.03339767,-31.41660309,20,1456,Argentina,NA
-58.0538559,-31.49492073,20,1457,Argentina,NA
-58.00967026,-31.53437614,20,1458,Argentina,NA
-57.9879837,-31.57617378,20,1459,Argentina,NA
-57.9888649,-31.62060738,20,1460,Argentina,NA
-58.0069809,-31.68496132,20,1461,Argentina,NA
-58.0423317,-31.76923752,20,1462,Argentina,NA
-58.09584808,-31.8318367,20,1463,Argentina,NA
-58.16748428,-31.87265778,20,1464,Argentina,NA
-58.18901062,-31.92421913,20,1465,Argentina,NA
-58.16040039,-31.98652458,20,1466,Argentina,NA
-58.15634918,-32.05156326,20,1467,Argentina,NA
-58.17700195,-32.11904144,20,1468,Argentina,NA
-58.16479874,-32.18486404,20,1469,Argentina,NA
-58.11972427,-32.24892426,20,1470,Argentina,NA
-58.12304688,-32.32187653,20,1471,Argentina,NA
-58.20116806,-32.47167969,20,1472,Argentina,NA
-58.2199707,-32.56396484,20,1473,Argentina,NA
-58.1709938,-32.95927429,20,1474,Argentina,NA
-58.20077896,-33.01464844,20,1475,Argentina,NA
-58.25039291,-33.07831955,20,1476,Argentina,NA
-58.30888748,-33.08290863,20,1477,Argentina,NA
-58.37597275,-33.07187653,20,1478,Argentina,NA
-58.42446136,-33.11152267,20,1479,Argentina,NA
-58.45483398,-33.28593826,20,1480,Argentina,NA
-58.54721451,-33.66347504,20,1481,Argentina,NA
-58.53056717,-33.75302505,20,1482,Argentina,NA
-58.45659256,-33.89833832,20,1483,Argentina,NA
-58.42949677,-33.99091721,20,1484,Argentina,NA
-58.40903091,-34.06074142,20,1485,Argentina,NA
-58.39248276,-34.19297028,20,1486,Argentina,NA
-58.43549728,-34.25253677,20,1487,Argentina,NA
-58.47524261,-34.26298904,20,1488,Argentina,NA
-58.52548599,-34.29618835,20,1489,Argentina,NA
-58.46620941,-34.45742416,20,1490,Argentina,NA
-58.4189415,-34.5316391,20,1491,Argentina,NA
-58.28334808,-34.68349457,20,1492,Argentina,NA
-57.76357269,-34.89453125,20,1493,Argentina,NA
-57.54785538,-35.0189476,20,1494,Argentina,NA
-57.30366135,-35.18847656,20,1495,Argentina,NA
-57.1706543,-35.36250305,20,1496,Argentina,NA
-57.15888596,-35.50595474,20,1497,Argentina,NA
-57.35390472,-35.72031021,20,1498,Argentina,NA
-57.37548828,-35.90029526,20,1499,Argentina,NA
-57.33544922,-36.0267601,20,1500,Argentina,NA
-57.26498795,-36.14414215,20,1501,Argentina,NA
-57.07617188,-36.29677582,20,1502,Argentina,NA
-56.93715668,-36.35253906,20,1503,Argentina,NA
-56.74946213,-36.34648132,20,1504,Argentina,NA
-56.71738052,-36.38906097,20,1505,Argentina,NA
-56.69809723,-36.42646408,20,1506,Argentina,NA
-56.66826248,-36.73525238,20,1507,Argentina,NA
-56.67202377,-36.85127258,20,1508,Argentina,NA
-56.72714996,-36.9577179,20,1509,Argentina,NA
-57.08769608,-37.44638443,20,1510,Argentina,NA
-57.39575195,-37.74462891,20,1511,Argentina,NA
-57.50727463,-37.90927887,20,1512,Argentina,NA
-57.54697418,-38.08564377,20,1513,Argentina,NA
-57.64560699,-38.16962814,20,1514,Argentina,NA
-58.1791954,-38.43584061,20,1515,Argentina,NA
-59.00722504,-38.67333984,20,1516,Argentina,NA
-59.67626953,-38.79668045,20,1517,Argentina,NA
-59.82831955,-38.83818436,20,1518,Argentina,NA
-60.90395737,-38.97392654,20,1519,Argentina,NA
-61.11220932,-38.99296951,20,1520,Argentina,NA
-61.38286209,-38.98085785,20,1521,Argentina,NA
-61.60254288,-38.99882889,20,1522,Argentina,NA
-61.84790421,-38.9618187,20,1523,Argentina,NA
-62.06689072,-38.91914368,20,1524,Argentina,NA
-62.18925476,-38.81328201,20,1525,Argentina,NA
-62.33476639,-38.80009842,20,1526,Argentina,NA
-62.37446213,-38.85292816,20,1527,Argentina,NA
-62.30361176,-38.9880867,20,1528,Argentina,NA
-62.33808517,-39.15058517,20,1529,Argentina,NA
-62.29506683,-39.24326324,20,1530,Argentina,NA
-62.20908356,-39.26181412,20,1531,Argentina,NA
-62.12646484,-39.30976868,20,1532,Argentina,NA
-62.05366135,-39.37382889,20,1533,Argentina,NA
-62.17934418,-39.38047028,20,1534,Argentina,NA
-62.13056183,-39.43154144,20,1535,Argentina,NA
-62.07680893,-39.46152496,20,1536,Argentina,NA
-62.08276367,-39.56835938,20,1537,Argentina,NA
-62.13153839,-39.82539368,20,1538,Argentina,NA
-62.25395584,-39.88047028,20,1539,Argentina,NA
-62.28691483,-39.89531326,20,1540,Argentina,NA
-62.32397461,-39.95068359,20,1541,Argentina,NA
-62.40185928,-40.19658279,20,1542,Argentina,NA
-62.42700195,-40.35595703,20,1543,Argentina,NA
-62.39360046,-40.45878983,20,1544,Argentina,NA
-62.24633408,-40.67461014,20,1545,Argentina,NA
-62.30185699,-40.81464767,20,1546,Argentina,NA
